ID,Label,Waterway,Drainage_Type,Site,Aspect,Site_type,Direction,Source,Landscape_feature,Slope_in_Degrees,Rock_Formation,Elevation,Long,Lat,Distance
34,Lukunder,Nayar River,Perennial,Lukunder,South East,Fortalice,West,133,Saddle,45,"Damta, Simala, Chakrata, Saknidhar",693,78.663017,29.978069,108
35,Manjifa,Kyar Gad,Intermittent,Manjifa,South East,Fortalice,South-west,138,Ridge,45,"Damta, Simala, Chakrata, Saknidhar",1435,78.600306,30.016747,556
36,Naogarh,Gwil Gad,Seasonal,Naogarh,South East,Fortalice,South-west,151,Ridge,35,"Blaini,Krol",1822,78.561733,30.020822,604
37,Baag,Ganga,Perennial,Baag,East,Fortalice,North-West,6,Other,15,"Damta, Simala, Chakrata, Saknidhar",631,78.593139,30.059572,334
38,Baira,Hyuni river,Perennial,Baira,South,Fortalice,East,12,Saddle,25,"Blaini,Krol",883,78.375192,30.065433,232
39,Dhangu,Ganga River,Perennial,Dhangu,West,Fortalice,East,54,Ridge,30,"Blaini,Krol",742,78.495283,30.067331,341
40,Idia,Maun Gad,Intermittent,Idia,East,Fortalice,South,97,Ridge,30,"Blaini,Krol",917,78.353925,30.078017,60
41,Jaman,Sari Gad,Seasonal,Jaman,South West,Fortalice,West,100,Saddle,25,Shiwalik,544,78.547508,29.748669,1159
42,Hanumaan,Pawai Gad,Seasonal,Hanumaan,East,Fortalice,West,92,Ridge,30,"Chaili, Ramgarh, Amri, blaini, krol",702,78.642889,29.920892,933
43,Langoor,N/A,Intermittent,Langoor,North East,Fort,North-West,129,Isolated hill,30,"Blaini,Krol",712,78.665761,29.924828,1421
44,Umta,Baheda Gad,Seasonal,Umta,North East,Fortalice,West,190,Saddle,30,Sabathu,599,78.572447,29.793831,459
45,Jonya,Rawasan Gad,Perennial,Jonya,South,Fortalice,West,103,Other,15,"Chaili, Ramgarh, Amri, Blaini, Krol",601,78.437406,29.936414,501
46,Gugti,N/A,Intermittent,Gugti,North west,Fortalice,North,86,Ridge,15,"Blaini,Krol",723,78.340467,29.949964,754
47,Mawakot,Sukhro Gad,Seasonal,Mawakot,South,Fortalice,East,141,Other,15,N/A,503,78.476308,29.747403,387
48,Bhagmal,Khoh River,Perennial,Bhagmal,South East,Fortalice,East,20,Other,15,Shiwalik,556,78.524931,29.775553,773
49,Akal,Galu gad,Seasonal,Akal,North East,Fortalice,West,4,Other,15,Chandpur,1199,78.930753,30.211014,317
50,Dharmal,Siwali Gad,Seasonal,Dharmal,South,Fortalice,West,57,Saddle,25,Berinag,1020,79.158217,30.274039,43
51,MahadKot,N/A,Intermittent,MahadKot,South East,Fortalice,South,137,Saddle,15,Berinag,1602,79.120272,30.331058,883
52,Nakot,Pagota gad,Perennial,Nakot,North west,Fortalice,North-West,148,Isolated hill,30,Berinag,1641,79.122269,30.342603,94
53,Nayal,Nayal Gad,Seasonal,Nayal,South,Fortalice,South,154,Other,15,Nagthat,913,78.810925,30.185089,87
54,Dhanya,N/A,Intermittent,Dhanya,South West,Fortalice,West,55,Saddle,30,Chandpur,1269,78.82755,30.168489,54
55,Gahad_1,N/A,Intermittent,Gahad_1,West,Fortalice,West,62,Isolated hill,25,Chandpur,918,78.832392,30.219506,331
56,Deval,Devalgarh Gad,Seasonal,Deval,South,Fort,East,51,Ridge,35,Chandpur,1071,78.859892,30.218706,84
57,Ulkha,Kathuli Gad,Seasonal,Ulkha,North,Fortalice,North,188,Ridge,30,Nagthat,2052,78.846875,30.160028,38
58,Badiyar,Badiyar Gad,Perennial,Badiyar,North,Fortalice,West,10,Isolated hill,25,N/A,1699,78.845278,30.296364,501
59,Devgarhi,Badiyar Gad,Perennial,Devgarhi,South East,Fortalice,North-West,52,Isolated hill,25,Berinag,1442,78.813939,30.319931,40
60,Alu,Badiyar Gad,Perennial,Alu,West,Fortalice,East,5,Saddle,25,Berinag,1660,78.803753,30.324283,29
