x,y,area,mounded,volume,moud_vol,elev
590652.74,4089038,56750,7575,64327.5,31610,4.17
590716.47,4072299.1,41075,1475,14961.25,1984.575,1.35
590722.26,4066588.5,82125,13875,32602.5,37072.5,2.67
590722.4,4061163.5,142775,4825,52777.5,18868,3.91
590799.84,4061791.8,73075,13500,143690,57242.5,4.24
590834.95,4087738.3,7350,,, , 
590836.55,4063634.7,13050,,914.8, , 
590887.57,4105192.9,253625,26250,150297.5,84812.5,3.24
590899.73,4071976.4,35075,450,27252.5,843.425,1.87
590942.3,4072274.2,28250,975,11676,1433.95,1.47
590961.7,4076363.7,135325,40750,247182.5,198487.5,4.87
590979.95,4104978.3,257450,24425,144385,83397.5,3.41
590985.68,4067776.2,20975,,914.025, , 
590994.82,4102779.6,116725,15900,,27437.5,1.73
591001.06,4073426,324800,64250,390975,408800,6.37
591032.96,4062451.6,107250,1300,,3067.75,2.36
591068.85,4069617.4,52075,450,,1185.125,2.63
591083.71,4066735.9,145975,,, , 
591140.64,4093616.4,76775,,, , 
591142.94,4057730.6,198425,,25107.5, , 
591154.71,4067762.5,21425,,9976.5, , 
591154.95,4055193.3,8025,,, , 
591161.99,4116960.2,41625,,, , 
591169.92,4114854,30075,,8745.5, , 
591201.94,4073907.8,165125,16625,121755,45325,2.73
591207.62,4046261,168075,23875,238470,89772.5,3.76
591214.95,4054538.3,160150,6025,218767.5,23608.5,3.92
591225.19,4104646.8,41825,,37692.5, , 
591245.51,4054530.1,160150,6375,246452.5,24571.75,3.85
591251.33,4085817.2,194225,136750,1421150,131537.5,9.62
591274.95,4072838.3,14550,50,4306.5,167.72,3.35
591281.08,4064191.2,15925,,3910.75, , 
591289.95,4075168.3,13200,,1282.375, , 
591330.92,4116307,434225,1300,,28405,21.8
591373.14,4064640.1,28275,,3573.75, , 
591377.1,4075037.5,54300,17725,151462.5,96415,5.44
591379.95,4072563.3,36000,225,3573.75,626.825,2.79
591421.3,4068158.9,35025,,7619, , 
591452.88,4108631.4,76900,,, , 
591475.34,4115716.9,155875,15525,600450,187975,12.1
591495.29,4075854.7,75350,30250,107205,83492.5,2.76
591499.17,4075370,70125,,, , 
591511.88,4063355.5,18350,125,8726.5,214.32,1.71
591512.71,4065597.1,16925,,2832.75, , 
591534.95,4072288.3,3850,,1859.025, , 
591561.55,4072724.3,113250,11625,88572.5,49707.5,4.28
591578.23,4074465.5,69350,8850,35400,20269.5,2.29
591679.95,4091703.3,6600,275,,872.575,3.17
591681.53,4075042.1,109800,225,,1065.15,4.73
591684.95,4072083.3,8025,,2892, , 
591708.67,4078253.5,116575,1925,,9656.25,5.02
591711.12,4107139.4,85275,12075,60362.5,25770,2.13
591717.78,4061364.5,146200,450,,964.7,2.14
591783.2,4096915.4,388675,128500,2674500,173947.5,13.5
591783.95,4070430.6,56050,22450,86292.5,57022.5,2.54
591789.95,4107018.3,4600,,4.50975, , 
591809.26,4056916.5,90750,8625,81712.5,27985,3.24
591812.8,4116301.8,129900,42500,1592350,1057275,24.8
591814.05,4108272.1,90500,24750,154982.5,85532.5,3.46
591858.99,4054256,142100,45250,291200,218775,4.85
591999.95,4080573.3,7900,,, , 
592014.95,4064308.3,29350,,, , 
592026.32,4063610.1,90075,4400,,6832,1.55
592063.5,4060103.8,67150,3550,12340.25,6096.5,1.72
592074.61,4110793.3,248725,124250,532450,41037.5,3.31
592122.54,4065328.3,33075,,, , 
592130.01,4104826.3,39000,,31197.5, , 
592142.63,4074907.4,112475,8025,46302.5,28330,3.53
592159.95,4107358.3,5800,,5773, , 
